strategy,points,seed,seconds,best_epoch,background,building,road,water,barren,forest,agriculture,mIoU
majority,0,-1,0.0,0.0,0.4726117483571,0.0,0.0,0.0,0.0,0.0,0.0,0.0675159640510142
dense,0,0,270.9,9.0,0.4841706465668172,0.3935320101572391,0.4681653118569457,0.6637667157621883,0.31042707623556,0.4406338970525099,0.2439462789053822,0.4292345623623775
dense,0,1,332.4,12.0,0.4486461196572233,0.356410273222907,0.3984637889519482,0.6409527794417336,0.318643219377036,0.3696754879083362,0.1417820873896698,0.3820819651355506
dense,0,2,325.7,12.0,0.5237305545769751,0.3699288398612468,0.4958127162794626,0.7004420942337799,0.3239049403818035,0.4465401373537644,0.2226666400586137,0.4404322746779496
uniform,5,0,358.3,12.0,0.3652633933072354,0.2869054973856996,0.1175446311911636,0.4718790990765337,0.2052155734471424,0.0264511774041083,0.0,0.2104656245445547
uniform,5,1,371.6,10.0,0.3371475129082827,0.32280120148427,0.190683305416464,0.5837449417774968,0.1909058892083474,0.0066700464023239,0.0,0.2331361281710264
uniform,5,2,361.4,9.0,0.4028748178349688,0.2454942973311008,0.1091431329430298,0.5144001983476362,0.0378715961376557,0.0945145937500578,0.0,0.2006140909063498
uniform,20,0,367.3,12.0,0.4726016373278415,0.3142967527402661,0.348912363893242,0.5764628626009676,0.2957825444609736,0.3404048384159632,0.206746088933724,0.3650295840532825
uniform,20,1,387.2,12.0,0.4206604727419307,0.305855352149513,0.1882701331591538,0.4819237277105297,0.200445228479251,0.0083995068298855,0.0,0.2293649172957519
uniform,20,2,364.6,11.0,0.400500597867387,0.3792629453269917,0.3410737707787247,0.5804843445515353,0.2696750818125988,0.2074280022923456,0.1531663084591785,0.3330844358698231
uniform,50,0,455.2,12.0,0.4268475116506027,0.3654933728345503,0.4165989559222818,0.6602533943572292,0.3327345868783428,0.3949575407544313,0.1783061875932724,0.3964559357129586
